name;station_id;geopunt;lat;lon
Az Sint Lucas;23838;51.0614386, 3.7202492;51.0614386;3.7202492
Neuseplein;12077;51.0670694, 3.727598;51.0670694;3.727598
Antwerpenplein 1;26562;51.0577765, 3.7412685;51.0577765;3.7412685
Rijksarchief;12318;51.0474557, 3.7224092;51.0474557;3.7224092
Geraard Mercatorstraat 28;13304;51.063655, 3.7272622;51.063655;3.7272622
François Benardstraat 80;16705;51.0419186, 3.7316075;51.0419186;3.7316075
Coupure Links 501;12061;51.0503505, 3.7104104;51.0503505;3.7104104
Sparrestraat 2;12189;51.059938, 3.6992412;51.059938;3.6992412
Underground Artevelde Hogeschool The Platform;23904;51.0294254, 3.721627;51.0294254;3.721627
Tweekerkenstraat;18657;51.0426564, 3.7274674;51.0426564;3.7274674
Nieuwbrugkaai 79;12115;51.0548227, 3.7335079;51.0548227;3.7335079
Kwaadham;22595;51.0547289, 3.7295318;51.0547289;3.7295318
Skate & Parkour;12179;51.0492256, 3.6875757;51.0492256;3.6875757
Zwarte Doos;21763;51.0456025, 3.7502217;51.0456025;3.7502217
Kleindokkaai zuid;12116;51.0575622, 3.7391434;51.0575622;3.7391434
P+R Galveston;12409;51.0743332, 3.7219552;51.0743332;3.7219552
Kunstlaan 1;12147;51.0412335, 3.7252314;51.0412335;3.7252314
Forelstraat 147;13177;51.049713, 3.7445566;51.049713;3.7445566
De Pintelaan 28;12428;51.0298803, 3.728336;51.0298803;3.728336
Belfortstraat 18;22589;51.0553011, 3.726792;51.0553011;3.726792
Maurice de Weerdstraat 9;16615;51.0463248, 3.716357;51.0463248;3.716357
Forelstraat water;26706;51.047414, 3.73934;51.047414;3.73934
Artevelde Hogeschool Willem de Beersteeg;23894;51.0600869, 3.7274059;51.0600869;3.7274059
Plantentuin;26208;51.0364097, 3.7222842;51.0364097;3.7222842
Europalaan 93;13392;51.0447751, 3.7001235;51.0447751;3.7001235
Dronkey 2;12053;51.0407704, 3.7256633;51.0407704;3.7256633
Bar Oswald;16967;51.0678339, 3.7281344;51.0678339;3.7281344
Pollepelstraat;21521;51.0476374, 3.7245007;51.0476374;3.7245007
Antwerpsesteenweg 235;13159;51.0614482, 3.7485343;51.0614482;3.7485343
Tramhalte Don Bosco;23834;51.0231244, 3.6989272;51.0231244;3.6989272
Gouvernementstraat;22544;51.0522882, 3.7271215;51.0522882;3.7271215
Pijndersstraat 36;13299;51.0581783, 3.7362448;51.0581783;3.7362448
Jakobijnenstraat 4;16691;51.0521876, 3.7204115;51.0521876;3.7204115
Rozemarijnstraat 2;22615;51.0504521, 3.7096885;51.0504521;3.7096885
Knokkestraat 56;13397;51.0377781, 3.7122689;51.0377781;3.7122689
Kapitein Zeppos;20520;51.0716931, 3.7351387;51.0716931;3.7351387
Kerkstraat 109;23635;51.0445745, 3.7535088;51.0445745;3.7535088
Driesstraat 1a;12107;51.0388358, 3.7410998;51.0388358;3.7410998
Korenbloemstraat 3;21708;51.051715, 3.7066536;51.051715;3.7066536
Ganzerik;26210;51.0622904, 3.6916473;51.0622904;3.6916473
Batterijstraat 31;13173;51.0600721, 3.7050422;51.0600721;3.7050422
P+R Viaduct Gentbrugge;23235;51.0348576, 3.7553025;51.0348576;3.7553025
Studentenhuis;22608;51.0474323, 3.7222758;51.0474323;3.7222758
Notelaarstraat 43;12191;51.0625251, 3.7004741;51.0625251;3.7004741
Sint-Denijslaan 431;12142;51.0359502, 3.6954795;51.0359502;3.6954795
Coupure Links 99;22610;51.0465527, 3.7172601;51.0465527;3.7172601
Citadellaan 8;12426;51.0383748, 3.7267299;51.0383748;3.7267299
Bibliotheekstraat 1;12028;51.0571073, 3.7286481;51.0571073;3.7286481
Kortrijksepoortstraat;19787;51.0438426, 3.7215985;51.0438426;3.7215985
Hogent Mercator;26596;51.0424153, 3.7162754;51.0424153;3.7162754
Coupure Links 685;23143;51.0551582, 3.7085798;51.0551582;3.7085798
Zilverenberg 21;12122;51.0547336, 3.7318704;51.0547336;3.7318704
Pannenkoekenhuis;22539;51.052252, 3.7232608;51.052252;3.7232608
Lange Boomgaardstraat 29;22231;51.0513088, 3.7315707;51.0513088;3.7315707
Moriaanstraat 70;13201;51.0337461, 3.7449185;51.0337461;3.7449185
Fjordenstraat;18113;51.0691143, 3.7387751;51.0691143;3.7387751
2de François Laurentplein;22601;51.0507922, 3.7279178;51.0507922;3.7279178
Voldersstraat;22541;51.0522187, 3.7248078;51.0522187;3.7248078
Woodrow Wilsonplein;12031;51.0483397, 3.7309618;51.0483397;3.7309618
Koningin Fabiolalaan 76;13283;51.0388912, 3.701733;51.0388912;3.701733
Abrahamstraat;12063;51.0572295, 3.7172372;51.0572295;3.7172372
Oude Houtlei 44;12121;51.0529963, 3.7167423;51.0529963;3.7167423
Jubileumlaan Maison Rouge;23820;51.0464704, 3.7072633;51.0464704;3.7072633
Anjelierstraat;21317;51.0725219, 3.7126014;51.0725219;3.7126014
Artevelde Hogeschool Brusselsepoortstraat;23901;51.0429092, 3.73865;51.0429092;3.73865
Hector van Wittenberghe;21847;51.0587496, 3.713344;51.0587496;3.713344
Kogelstraat 2;13165;51.0580561, 3.7422591;51.0580561;3.7422591
Gasmeterlaan 191;13181;51.0673695, 3.7227782;51.0673695;3.7227782
Vaartstraat 2/110;17065;51.0706364, 3.6930576;51.0706364;3.6930576
François Laurentplein 10;13127;51.0505956, 3.7278433;51.0505956;3.7278433
XIOR Student Housing;20361;51.0343421, 3.7042949;51.0343421;3.7042949
Sint-Michielsbrug (bovenaan parkeren);22547;51.053937, 3.7211362;51.053937;3.7211362
Tentoonstellingslaan 128;12367;51.0385755, 3.730624;51.0385755;3.730624
Nadine Crappéstraat 12;16607;51.0543356, 3.6902522;51.0543356;3.6902522
Kopenhagenstraat;21323;51.0740496, 3.7284415;51.0740496;3.7284415
Martelaarslaan 406;16613;51.0485769, 3.7094228;51.0485769;3.7094228
Hospitaalbrug;22609;51.0469277, 3.7186038;51.0469277;3.7186038
Gestichtstraat 3;16626;51.0172252, 3.7196675;51.0172252;3.7196675
De Harp;22605;51.0476075, 3.7248735;51.0476075;3.7248735
Jan van Stopenberghestraat 2;12018;51.0535493, 3.7212226;51.0535493;3.7212226
Reigerstraat 50;12140;51.0339931, 3.7089561;51.0339931;3.7089561
Druifstraat 6;13226;51.0626144, 3.6932442;51.0626144;3.6932442
Voldersstraat 72;12003;51.0525333, 3.7229279;51.0525333;3.7229279
Vlaanderenstraat 3;12013;51.0514117, 3.7286276;51.0514117;3.7286276
Oostendestraat 91;13260;51.0351541, 3.7151205;51.0351541;3.7151205
Acaciapark;21538;51.06047, 3.698906;51.06047;3.698906
Achterleie 9;12038;51.0601723, 3.7256821;51.0601723;3.7256821
Gaston Crommenlaan 8;12438;51.0363702, 3.7357186;51.0363702;3.7357186
STAM - Stadsmuseum Gent;12057;51.0433045, 3.7177672;51.0433045;3.7177672
Victor Frisstraat 57;16089;51.0630107, 3.7074887;51.0630107;3.7074887
KASK;20840;51.0455266, 3.7186354;51.0455266;3.7186354
Oudburg 55;24168;51.0590581, 3.724778;51.0590581;3.724778
